date, value
20/08/1973,0.6735
21/08/1973,0.671
22/08/1973,0.658
23/08/1973,0.6675
24/08/1973,0.666
27/08/1973,0.659
28/08/1973,0.64
29/08/1973,0.6345
30/08/1973,0.6387
31/08/1973,0.6402
04/09/1973,0.6432
05/09/1973,0.637
06/09/1973,0.636
07/09/1973,0.638
10/09/1973,0.6335
11/09/1973,0.6302
12/09/1973,0.6365
13/09/1973,0.645
14/09/1973,0.6645
17/09/1973,0.6575
18/09/1973,0.6562
19/09/1973,0.6515
20/09/1973,0.648
21/09/1973,0.6465
24/09/1973,0.657
25/09/1973,0.673
26/09/1973,0.684
27/09/1973,0.6855
28/09/1973,0.6782
01/10/1973,0.68
02/10/1973,0.6847
03/10/1973,0.6845
04/10/1973,0.6812
05/10/1973,0.6822
09/10/1973,0.677
10/10/1973,0.6795
11/10/1973,0.6702
12/10/1973,0.6507
15/10/1973,0.6415
16/10/1973,0.6433
17/10/1973,0.642
18/10/1973,0.6493
19/10/1973,0.652
23/10/1973,0.652
24/10/1973,0.6453
25/10/1973,0.6483
26/10/1973,0.6478
29/10/1973,0.6438
30/10/1973,0.6448
31/10/1973,0.6505
01/11/1973,0.6544
02/11/1973,0.6475
05/11/1973,0.652
07/11/1973,0.655
08/11/1973,0.657
09/11/1973,0.657
12/11/1973,0.661
13/11/1973,0.657
14/11/1973,0.6413
15/11/1973,0.6445
16/11/1973,0.647
19/11/1973,0.6503
20/11/1973,0.64
21/11/1973,0.6381
23/11/1973,0.641
26/11/1973,0.6275
27/11/1973,0.628
28/11/1973,0.6344
29/11/1973,0.6498
30/11/1973,0.6534
03/12/1973,0.6618
04/12/1973,0.6645
05/12/1973,0.6655
06/12/1973,0.664
07/12/1973,0.6718
10/12/1973,0.685
11/12/1973,0.6735
12/12/1973,0.6739
13/12/1973,0.6698
14/12/1973,0.667
17/12/1973,0.6688
18/12/1973,0.6693
19/12/1973,0.672
20/12/1973,0.6728
21/12/1973,0.6733
26/12/1973,0.6763
27/12/1973,0.674
28/12/1973,0.6705
31/12/1973,0.674
02/01/1974,0.689
03/01/1974,0.688
04/01/1974,0.684
07/01/1974,0.6978
08/01/1974,0.692
09/01/1974,0.6903
10/01/1974,0.6958
11/01/1974,0.7085
14/01/1974,0.7285
15/01/1974,0.7195
16/01/1974,0.7238
17/01/1974,0.719
18/01/1974,0.718
21/01/1974,0.738
22/01/1974,0.731
23/01/1974,0.7225
24/01/1974,0.7405
25/01/1974,0.7485
28/01/1974,0.7425
29/01/1974,0.7373
30/01/1974,0.7328
31/01/1974,0.7265
01/02/1974,0.7333
04/02/1974,0.7533
05/02/1974,0.755
06/02/1974,0.7405
07/02/1974,0.75
08/02/1974,0.768
11/02/1974,0.788
13/02/1974,0.768
14/02/1974,0.773
15/02/1974,0.78
19/02/1974,0.76
20/02/1974,0.7425
21/02/1974,0.7625
22/02/1974,0.7548
25/02/1974,0.7476
26/02/1974,0.7625
27/02/1974,0.7442
28/02/1974,0.7347
01/03/1974,0.737
04/03/1974,0.7181
05/03/1974,0.7025
06/03/1974,0.719
07/03/1974,0.72
08/03/1974,0.7248
11/03/1974,0.7208
12/03/1974,0.7208
13/03/1974,0.7233
14/03/1974,0.7393
15/03/1974,0.7363
18/03/1974,0.7433
19/03/1974,0.7318
20/03/1974,0.7453
21/03/1974,0.7653
22/03/1974,0.7568
25/03/1974,0.7368
26/03/1974,0.72
27/03/1974,0.734
28/03/1974,0.7315
29/03/1974,0.749
01/04/1974,0.7305
02/04/1974,0.7365
03/04/1974,0.734
04/04/1974,0.7425
05/04/1974,0.726
08/04/1974,0.708
09/04/1974,0.712
10/04/1974,0.716
11/04/1974,0.714
15/04/1974,0.71
16/04/1974,0.69
17/04/1974,0.6993
18/04/1974,0.707
19/04/1974,0.7148
22/04/1974,0.719
23/04/1974,0.704
24/04/1974,0.6985
25/04/1974,0.699
26/04/1974,0.7088
29/04/1974,0.7162
30/04/1974,0.7246
01/05/1974,0.7455
02/05/1974,0.744
03/05/1974,0.7415
06/05/1974,0.7215
07/05/1974,0.7285
08/05/1974,0.7356
09/05/1974,0.7458
10/05/1974,0.7463
13/05/1974,0.7338
14/05/1974,0.7325
15/05/1974,0.7125
16/05/1974,0.7293
17/05/1974,0.7355
20/05/1974,0.7278
21/05/1974,0.7328
22/05/1974,0.731
23/05/1974,0.7138
24/05/1974,0.7243
28/05/1974,0.7165
29/05/1974,0.7255
30/05/1974,0.7263
31/05/1974,0.7313
03/06/1974,0.7355
04/06/1974,0.7325
05/06/1974,0.7393
06/06/1974,0.7428
07/06/1974,0.7435
10/06/1974,0.7505
11/06/1974,0.7478
12/06/1974,0.7475
13/06/1974,0.748
14/06/1974,0.7495
17/06/1974,0.737
18/06/1974,0.717
19/06/1974,0.7318
20/06/1974,0.726
21/06/1974,0.7098
24/06/1974,0.6898
25/06/1974,0.6752
26/06/1974,0.6914
27/06/1974,0.6868
28/06/1974,0.7054
01/07/1974,0.7075
02/07/1974,0.711
03/07/1974,0.723
05/07/1974,0.718
08/07/1974,0.698
09/07/1974,0.69
10/07/1974,0.699
11/07/1974,0.719
12/07/1974,0.728
15/07/1974,0.726
16/07/1974,0.7292
17/07/1974,0.7328
18/07/1974,0.7128
19/07/1974,0.6928
22/07/1974,0.695
23/07/1974,0.68
24/07/1974,0.6985
25/07/1974,0.69
